dataset,window_tag,hidden_tag,trust_total_s,trust_mlp_s,trust_milp1_s,trust_milp2_s,tt_sensors_total_s,tt_sensors_mlp_s,tt_sensors_milp1_s,tt_sensors_milp2_s,tt_windows_total_s,tt_windows_mlp_s,tt_windows_milp1_s,tt_windows_milp2_s,tt_sum_total_s,tt_avg_total_s,tt_sum_mlp_s,tt_sum_milp1_s,tt_sum_milp2_s,tt_avg_mlp_s,tt_avg_milp1_s,tt_avg_milp2_s,speedup_sum,speedup_avg
FD001,W30_step1,h10,7229.759648497368,4763.397648497368,264.3389999999999,2202.023,326.7617183149592,149.1527183149592,1.7719999999999996,175.837,520.691592398046,311.32159239804605,3.884,205.486,847.4533107130053,423.72665535650265,460.47431071300525,5.656,381.323,230.23715535650263,2.828,190.6615,8.53115983748368,17.06231967496736
FD001,W30_step1,h10_10,11643.654991116533,5589.469991116544,338.78800000000024,5715.396999999988,567.7256648729733,160.46966487297323,4.723000000000001,402.533,902.9199216651302,338.9989216651302,8.065999999999999,555.855,1470.6455865381035,735.3227932690518,499.4685865381034,12.789,958.388,249.7342932690517,6.3945,479.194,7.917376625408213,15.834753250816426
FD001,W30_step1,h10_10_10,23769.657243584043,6740.919243584034,552.6209999999994,16476.11700000001,1042.728586853099,336.86758685309906,15.719999999999999,690.1409999999998,1610.3132664090494,357.6762664090493,20.296,1232.3410000000001,2653.0418532621484,1326.5209266310742,694.5438532621483,36.016,1922.482,347.27192663107417,18.008,961.241,8.959397762367434,17.91879552473487
FD002,W30_step1,h10,18701.37791113999,16155.655911139984,796.9670000000011,1748.7550000000033,522.1875467511513,451.8415467511513,2.748,67.59800000000003,888.4629487097635,663.2529487097636,7.319000000000002,217.89099999999996,1410.650495460915,705.3252477304575,1115.094495460915,10.067000000000002,285.489,557.5472477304575,5.033500000000001,142.7445,13.25727242241496,26.51454484482992
FD002,W30_step1,h10_10,27086.102297057972,17997.388297057965,983.2960000000005,8105.418000000004,801.0261141550861,504.6281141550862,6.546999999999999,289.85099999999994,2018.6691640989102,712.96316409891,12.556000000000001,1293.15,2819.6952782539965,1409.8476391269983,1217.5912782539963,19.103,1583.001,608.7956391269981,9.5515,791.5005,9.606038817722938,19.212077635445876
FD002,W30_step1,h10_10_10,32715.23895405002,20412.117954050016,1906.655999999999,10396.465000000004,962.2434062799298,540.9784062799299,27.184999999999995,394.0799999999999,2361.755809453917,788.5258094539167,34.92499999999999,1538.3050000000003,3323.999215733847,1661.9996078669235,1329.5042157338466,62.109999999999985,1932.3850000000002,664.7521078669233,31.054999999999993,966.1925000000001,9.842131971390192,19.684263942780383
FD003,W30_step1,h10,12229.387456618118,7082.459456618119,358.6959999999994,4788.232000000001,698.692771734105,183.09877173410496,2.4009999999999994,513.193,750.3578709649206,356.5258709649206,4.271,389.561,1449.0506426990255,724.5253213495128,539.6246426990256,6.671999999999999,902.7539999999999,269.8123213495128,3.3359999999999994,451.37699999999995,8.439585958044544,16.87917191608909
FD003,W30_step1,h10_10,26649.627040294097,7641.6520402940805,442.0580000000004,18565.917000000016,1073.0077752690693,203.78777526906924,6.7440000000000015,862.476,1644.5981031451308,386.0661031451309,8.077999999999998,1250.454,2717.6058784142,1358.8029392071,589.8538784142002,14.822,2112.93,294.9269392071001,7.411,1056.465,9.80628841436158,19.61257682872316
FD003,W30_step1,h10_10_10,33774.63365066342,8357.553650663409,726.1109999999996,24690.96900000001,1158.1006117209868,222.75861172098666,31.392,903.95,2171.842658196093,423.43665819609305,29.055,1719.3509999999999,3329.9432699170798,1664.9716349585399,646.1952699170797,60.447,2623.301,323.09763495853986,30.2235,1311.6505,10.142705419574446,20.28541083914889
FD004,W30_step1,h10,21868.315584621472,19613.742584621476,659.0320000000003,1595.5409999999988,605.2685489149559,518.6465489149559,2.7089999999999996,83.91299999999998,1012.8383202750208,745.0603202750208,7.954999999999999,259.82300000000004,1618.1068691899768,809.0534345949884,1263.7068691899767,10.663999999999998,343.736,631.8534345949884,5.331999999999999,171.868,13.514753568513516,27.029507137027032
FD004,W30_step1,h10_10,29941.41559792045,21882.178597920465,878.8909999999994,7180.345999999985,855.0422345190193,565.7172345190193,6.824999999999998,282.5,1943.995768427083,807.9857684270828,12.893999999999998,1123.1160000000002,2799.038002946102,1399.519001473051,1373.703002946102,19.718999999999998,1405.6160000000002,686.851501473051,9.859499999999999,702.8080000000001,10.697037898880218,21.394075797760436
FD004,W30_step1,h10_10_10,37037.374519980105,21625.5835199801,2360.2770000000028,13051.514,1107.662421992972,607.516421992972,25.779,474.367,2467.5888179741123,904.6788179741125,35.885000000000005,1527.025,3575.251239967084,1787.625619983542,1512.1952399670845,61.664,2001.392,756.0976199835422,30.832,1000.696,10.35937673580699,20.71875347161398
