dataset,hidden_tag,mode,n_runs,n_ok,present,complete_ok
FD001,h10,sensors,5,5,True,True
FD001,h10,windows,5,5,True,True
FD001,h10_10,sensors,5,5,True,True
FD001,h10_10,windows,5,5,True,True
FD001,h10_10_10,sensors,5,5,True,True
FD001,h10_10_10,windows,5,5,True,True
FD002,h10,sensors,5,5,True,True
FD002,h10,windows,5,5,True,True
FD002,h10_10,sensors,5,5,True,True
FD002,h10_10,windows,5,5,True,True
FD002,h10_10_10,sensors,5,5,True,True
FD002,h10_10_10,windows,5,5,True,True
FD003,h10,sensors,5,5,True,True
FD003,h10,windows,5,5,True,True
FD003,h10_10,sensors,5,5,True,True
FD003,h10_10,windows,5,5,True,True
FD003,h10_10_10,sensors,5,5,True,True
FD003,h10_10_10,windows,5,5,True,True
FD004,h10,sensors,5,5,True,True
FD004,h10,windows,5,5,True,True
FD004,h10_10,sensors,5,5,True,True
FD004,h10_10,windows,5,5,True,True
FD004,h10_10_10,sensors,5,5,True,True
FD004,h10_10_10,windows,5,5,True,True
