dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,ks_evaluated,mae_full_ref,rmse_full_ref,mae_mean_ref,rmse_mean_ref,mean_y_train,ranking_file,partial_auc_lo,partial_auc_hi,retrain_retention_auc,retrain_retention_auc_20_80,retrain_retention_auc_20_80_raw,retrain_retention_at_20,retrain_retention_at_80,val_mae_auc,val_mae_auc_20_80,val_mae_auc_20_80_raw,val_mae_at_20,val_mae_at_80,val_rmse_auc,val_rmse_auc_20_80,val_rmse_auc_20_80_raw,val_rmse_at_20,val_rmse_at_80
FD003,W30_step1,h10_10_10,windows,fulltrust_agg_selection,-1,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_fulltrust_agg_selection.json,0.2,0.8,0.9173633514415314,1.0313258691069251,0.6187955214641552,0.9553395633434979,1.0441953990067165,31.737964057922365,26.763250668843586,16.057950401306154,30.080219268798828,26.201467514038086,46.49561386108398,40.74049441019694,24.444296646118165,44.6468505859375,40.77596664428711
FD003,W30_step1,h10_10_10,windows,timetrust_selection,-1,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_timetrust_selection.json,0.2,0.8,0.8393714734116919,0.9285268999935433,0.5571161399961261,0.8900492910196699,0.9463607057124389,35.142480278015135,31.250650723775227,18.75039043426514,32.93028259277344,30.472166061401367,50.32277145385743,45.91516367594401,27.54909820556641,46.53045654296875,46.11592102050781
FD003,W30_step1,h10_10_10,windows,weights,-1,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_weights.json,0.2,0.8,0.922040722232352,1.0341884380795356,0.6205130628477215,0.9962732757504603,1.032859980672296,31.533786582946775,26.638293266296383,15.982975959777832,28.293373107910156,26.6962833404541,46.615517425537114,41.08716837565104,24.652301025390628,41.99256134033203,42.54924774169922
FD003,W30_step1,h10_10_10,windows,group_ablation,-1,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,mlp_baselines/FD003/W30_step1/h10_10_10/rankings/ranking_windows_group_ablation_masking.json,0.2,0.8,0.9259608109106581,1.0404789501827125,0.6242873701096276,0.9888850627311452,1.0417060078556102,31.36266613006592,26.36369864145915,15.818219184875492,28.61588478088379,26.310134887695312,45.647578430175784,39.79058456420898,23.87435073852539,43.002498626708984,39.63942337036133
FD003,W30_step1,h10_10_10,windows,random_permutation,0,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,0.2,0.8,0.8844276836305568,0.9793142866996946,0.5875885720198168,0.9289072218210364,1.053340556862814,33.17567806243896,29.033670107523598,17.42020206451416,31.23404884338379,25.802261352539062,48.150578308105466,43.58135223388671,26.14881134033203,44.8942985534668,40.033016204833984
FD003,W30_step1,h10_10_10,windows,random_permutation,1,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,0.2,0.8,0.8803127886140187,0.9876704870422076,0.5926022922253247,0.8925608351434758,0.9984007913199148,33.35530223846436,28.668903668721516,17.20134220123291,32.820648193359375,28.200502395629883,47.84634094238281,42.37198829650879,25.423192977905277,46.53806686401367,42.603057861328125
FD003,W30_step1,h10_10_10,windows,random_permutation,2,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,0.2,0.8,0.8800206664951231,0.9757179824330858,0.5854307894598516,0.9193675487962918,1.0403878841328744,33.36805400848389,29.190656661987305,17.514393997192386,31.650476455688477,26.367673873901367,48.48465576171874,43.94708188374837,26.368249130249026,45.61609649658203,40.45761489868164
FD003,W30_step1,h10_10_10,windows,random_permutation,3,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,0.2,0.8,0.8952146432984702,0.9957659639367955,0.5974595783620774,0.945544279095297,1.0458630328450809,32.704803657531734,28.315518379211422,16.989311027526856,30.50780487060547,26.128671646118164,47.56932067871094,42.51551755269369,25.509310531616215,44.06184768676758,41.447898864746094
FD003,W30_step1,h10_10_10,windows,random_permutation,4,30,6,"0,6,12,18,24,30",28.130693435668945,44.13840103149414,71.78288269042969,90.7442398071289,125.61982727050781,,0.2,0.8,0.8773960504526743,0.9755409188636524,0.5853245513181915,0.946252912056325,0.9883187418649544,33.48262424468994,29.198385874430333,17.519031524658203,30.476871490478516,28.640605926513672,48.82934494018554,44.13912010192871,26.48347206115723,44.28836441040039,44.08000946044922
